Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2017,CA,California,Hayward,City,BRFSS,Health Outcomes,0633000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.8,4.7,4.8,,,144186,"(37.6329591551, -122.077051051)",HLTHOUT,CHD,0633000,,Coronary Heart Disease
2017,CA,California,Indio,City,BRFSS,Health Outcomes,0636448,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6,5.8,6.2,,,76036,"(33.7298067837, -116.237258141)",HLTHOUT,COPD,0636448,,COPD
2017,AL,Alabama,Tuscaloosa,City,BRFSS,Health Outcomes,0177256,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.2,4.1,4.3,,,90468,"(33.2336083951, -87.5268004073)",HLTHOUT,STROKE,0177256,,Stroke
2017,CA,California,Bellflower,City,BRFSS,Health Outcomes,0604982,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.3,5.2,5.4,,,76616,"(33.8880417923, -118.127100236)",HLTHOUT,CHD,0604982,,Coronary Heart Disease
2017,CA,California,Lynwood,City,BRFSS,Health Outcomes,0644574,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5,5,5.1,,,69772,"(33.9239616867, -118.201648375)",HLTHOUT,CANCER,0644574,,Cancer (except skin)
2017,CA,California,Palmdale,City,BRFSS,Health Outcomes,0655156,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,28.8,28.7,29,,,152750,"(34.5944899803, -118.105772328)",HLTHOUT,BPHIGH,0655156,,High Blood Pressure
2017,CA,California,Redding,City,BRFSS,Health Outcomes,0659920,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.6,6.6,6.7,,,89861,"(40.5697591271, -122.365026322)",HLTHOUT,CANCER,0659920,,Cancer (except skin)
2017,CA,California,Richmond,City,BRFSS,Health Outcomes,0660620,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3.4,3.4,3.5,,,103701,"(37.9479710365, -122.336803759)",HLTHOUT,STROKE,0660620,,Stroke
2017,CA,California,San Diego,City,BRFSS,Health Outcomes,0666000,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2.6,2.5,2.6,,,1307402,"(32.8355639418, -117.119792061)",HLTHOUT,STROKE,0666000,,Stroke
2017,CT,Connecticut,New Britain,City,BRFSS,Health Outcomes,0950370,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3.3,3.2,3.4,,,73206,"(41.675922654, -72.7861630705)",HLTHOUT,STROKE,0950370,,Stroke
