Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,Short_Question_Text,Latitude,Longitude,Latitude,Longitude,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
2017,TX,Texas,Abilene,City,BRFSS,Health Outcomes,4801000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.7,8.7,8.8,117063,"(32.4546510898, -99.7383043723)",HLTHOUT,CASTHMA,4801000,Current Asthma,32.4546510898,-99.7383043723,32.4547,-99.7383,260.35,0.28,3.13,66.52,0.25,3.69,4.23,1.24
2017,OH,Ohio,Akron,City,BRFSS,Health Outcomes,3901000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.8,10.7,10.9,199110,"(41.0801444942, -81.5219213688)",HLTHOUT,CASTHMA,3901000,Current Asthma,41.0801444942,-81.5219213688,41.0814,-81.519,310.42,0.49,24.33,74.39,2.65,4.04,6.15,1.16
2017,CA,California,Alameda,City,BRFSS,Health Outcomes,600562,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.4,8.3,8.5,73812,"(37.7650849031, -122.266489842)",HLTHOUT,CASTHMA,600562,Current Asthma,37.7650849031,-122.266489842,37.7651,-122.2665,253.68,1.55,6.6,94.41,2.71,2.32,4.73,0.63
2017,GA,Georgia,Albany,City,BRFSS,Health Outcomes,1301052,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.1,10.9,11.3,77434,"(31.5776036766, -84.1763240815)",HLTHOUT,CASTHMA,1301052,Current Asthma,31.5776036766,-84.1763240815,31.5776,-84.1763,243.66,0.09,4.8,86.55,0.21,4.66,7.3,1.92
2017,NY,New York,Albany,City,BRFSS,Health Outcomes,3601000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.7,10.5,10.8,97856,"(42.6663969604, -73.7986826267)",HLTHOUT,CASTHMA,3601000,Current Asthma,42.6663969604,-73.7986826267,42.6664,-73.7987,263.69,0.02,7.03,89.41,0.44,2.82,3.33,0.9
2017,NM,New Mexico,Albuquerque,City,BRFSS,Health Outcomes,3502000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.0,9.9,10.0,545852,"(35.1055025771, -106.647447696)",HLTHOUT,CASTHMA,3502000,Current Asthma,35.1055025771,-106.647447696,35.1055,-106.6474,178.58,0.02,0.23,170.23,0.15,2.57,16.63,0.38
2017,VA,Virginia,Alexandria,City,BRFSS,Health Outcomes,5101000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.8,8.7,8.9,139966,"(38.8187351557, -77.0867762661)",HLTHOUT,CASTHMA,5101000,Current Asthma,38.8187351557,-77.0867762661,38.8187,-77.0868,317.1,0.07,20.56,68.67,2.47,6.89,9.21,1.98
2017,CA,California,Alhambra,City,BRFSS,Health Outcomes,600884,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.2,7.1,7.2,83089,"(34.0839734383, -118.135514119)",HLTHOUT,CASTHMA,600884,Current Asthma,34.0839734383,-118.135514119,34.084,-118.1355,370.5,1.76,19.88,188.83,10.37,40.48,44.39,0.63
2017,TX,Texas,Allen,City,BRFSS,Health Outcomes,4801924,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.6,7.5,7.7,84246,"(33.1087043234, -96.6735373763)",HLTHOUT,CASTHMA,4801924,Current Asthma,33.1087043234,-96.6735373763,33.1087,-96.6735,243.66,0.07,7.88,67.23,1.13,1.73,3.01,1.09
2017,PA,Pennsylvania,Allentown,City,BRFSS,Health Outcomes,4202000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.7,10.6,10.8,118032,"(40.596099618, -75.4755373968)",HLTHOUT,CASTHMA,4202000,Current Asthma,40.596099618,-75.4755373968,40.6,-75.48,253.68,0.04,8.31,55.08,0.72,3.73,4.84,1.27
2017,TX,Texas,Amarillo,City,BRFSS,Health Outcomes,4803000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.8,8.7,8.9,190695,"(35.2003835544, -101.828292514)",HLTHOUT,CASTHMA,4803000,Current Asthma,35.2003835544,-101.828292514,35.2004,-101.8283,210.29,0.05,0.49,104.43,0.02,3.43,18.29,1.16
2017,CA,California,Anaheim,City,BRFSS,Health Outcomes,602000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.3,8.2,8.4,336265,"(33.8389076996, -117.857613481)",HLTHOUT,CASTHMA,602000,Current Asthma,33.8389076996,-117.857613481,33.8389,-117.8576,473.98,1.84,31.19,266.08,23.6,69.66,75.75,0.63
2017,AK,Alaska,Anchorage,City,BRFSS,Health Outcomes,203000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.9,8.8,8.9,291826,"(61.149868731, -149.111113424)",HLTHOUT,CASTHMA,203000,Current Asthma,61.149868731,-149.111113424,61.1499,-149.1111,220.3,0.07,0.13,85.12,0.09,0.5,0.58,0.03
2017,MI,Michigan,Ann Arbor,City,BRFSS,Health Outcomes,2603000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.2,9.1,9.3,113934,"(42.2756833567, -83.7311374448)",HLTHOUT,CASTHMA,2603000,Current Asthma,42.2756833567,-83.7311374448,42.2757,-83.7311,233.65,0.06,3.09,115.87,1.12,4.24,4.7,1.43
2017,CA,California,Antioch,City,BRFSS,Health Outcomes,602252,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.7,9.6,9.8,102372,"(37.9777042922, -121.796606971)",HLTHOUT,CASTHMA,602252,Current Asthma,37.9777042922,-121.796606971,37.9777,-121.7966,330.45,3.19,14.91,98.71,4.05,8.74,10.11,2.19
2017,CA,California,Apple Valley,City,BRFSS,Health Outcomes,602364,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.6,9.4,9.7,69135,"(34.5315984948, -117.211012664)",HLTHOUT,CASTHMA,602364,Current Asthma,34.5315984948,-117.211012664,34.5316,-117.211,205.28,0.06,0.43,141.62,0.07,1.29,4.95,0.26
2017,WI,Wisconsin,Appleton,City,BRFSS,Health Outcomes,5502375,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.5,9.4,9.7,72623,"(44.2776987457, -88.3897664444)",HLTHOUT,CASTHMA,5502375,Current Asthma,44.2776987457,-88.3897664444,44.28,-88.39,236.99,0.42,6.51,70.1,0.06,0.97,1.52,4.31
2017,TX,Texas,Arlington,City,BRFSS,Health Outcomes,4804000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.9,8.8,8.9,365438,"(32.699836862, -97.125089612)",HLTHOUT,CASTHMA,4804000,Current Asthma,32.699836862,-97.125089612,32.6998,-97.1251,236.99,0.04,6.0,67.95,1.16,1.81,2.92,0.98
2017,IL,Illinois,Arlington Heights,City,BRFSS,Health Outcomes,1702154,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.9,7.8,8.0,75101,"(42.095623342, -87.9825627457)",HLTHOUT,CASTHMA,1702154,Current Asthma,42.095623342,-87.9825627457,42.0956,-87.9826,297.07,0.62,16.97,111.58,3.76,10.72,12.74,1.12
2017,CO,Colorado,Arvada,City,BRFSS,Health Outcomes,803455,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.4,9.3,9.5,106433,"(39.8308263293, -105.146327974)",HLTHOUT,CASTHMA,803455,Current Asthma,39.8308263293,-105.146327974,39.8308,-105.1463,201.94,0.06,0.95,113.01,0.35,3.0,7.39,0.68
