Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,Short_Question_Text,Latitude,Longitude,Latitude,Longitude,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
2017,TX,Texas,Abilene,City,BRFSS,Health Outcomes,4801000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.3,6.2,6.4,117063,"(32.4546510898, -99.7383043723)",HLTHOUT,CHD,4801000,Coronary Heart Disease,32.4546510898,-99.7383043723,32.4547,-99.7383,260.35,0.28,3.13,66.52,0.25,3.69,4.23,1.24
2017,OH,Ohio,Akron,City,BRFSS,Health Outcomes,3901000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.4,7.4,7.5,199110,"(41.0801444942, -81.5219213688)",HLTHOUT,CHD,3901000,Coronary Heart Disease,41.0801444942,-81.5219213688,41.0814,-81.519,310.42,0.49,24.33,74.39,2.65,4.04,6.15,1.16
2017,CA,California,Alameda,City,BRFSS,Health Outcomes,600562,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.0,3.9,4.1,73812,"(37.7650849031, -122.266489842)",HLTHOUT,CHD,600562,Coronary Heart Disease,37.7650849031,-122.266489842,37.7651,-122.2665,253.68,1.55,6.6,94.41,2.71,2.32,4.73,0.63
2017,GA,Georgia,Albany,City,BRFSS,Health Outcomes,1301052,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.3,7.2,7.4,77434,"(31.5776036766, -84.1763240815)",HLTHOUT,CHD,1301052,Coronary Heart Disease,31.5776036766,-84.1763240815,31.5776,-84.1763,243.66,0.09,4.8,86.55,0.21,4.66,7.3,1.92
2017,NY,New York,Albany,City,BRFSS,Health Outcomes,3601000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.9,5.8,6.1,97856,"(42.6663969604, -73.7986826267)",HLTHOUT,CHD,3601000,Coronary Heart Disease,42.6663969604,-73.7986826267,42.6664,-73.7987,263.69,0.02,7.03,89.41,0.44,2.82,3.33,0.9
2017,NM,New Mexico,Albuquerque,City,BRFSS,Health Outcomes,3502000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.2,5.1,5.2,545852,"(35.1055025771, -106.647447696)",HLTHOUT,CHD,3502000,Coronary Heart Disease,35.1055025771,-106.647447696,35.1055,-106.6474,178.58,0.02,0.23,170.23,0.15,2.57,16.63,0.38
2017,VA,Virginia,Alexandria,City,BRFSS,Health Outcomes,5101000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.5,4.4,4.6,139966,"(38.8187351557, -77.0867762661)",HLTHOUT,CHD,5101000,Coronary Heart Disease,38.8187351557,-77.0867762661,38.8187,-77.0868,317.1,0.07,20.56,68.67,2.47,6.89,9.21,1.98
2017,CA,California,Alhambra,City,BRFSS,Health Outcomes,600884,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.5,4.4,4.6,83089,"(34.0839734383, -118.135514119)",HLTHOUT,CHD,600884,Coronary Heart Disease,34.0839734383,-118.135514119,34.084,-118.1355,370.5,1.76,19.88,188.83,10.37,40.48,44.39,0.63
2017,TX,Texas,Allen,City,BRFSS,Health Outcomes,4801924,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.6,4.4,4.8,84246,"(33.1087043234, -96.6735373763)",HLTHOUT,CHD,4801924,Coronary Heart Disease,33.1087043234,-96.6735373763,33.1087,-96.6735,243.66,0.07,7.88,67.23,1.13,1.73,3.01,1.09
2017,PA,Pennsylvania,Allentown,City,BRFSS,Health Outcomes,4202000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.4,7.2,7.5,118032,"(40.596099618, -75.4755373968)",HLTHOUT,CHD,4202000,Coronary Heart Disease,40.596099618,-75.4755373968,40.6,-75.48,253.68,0.04,8.31,55.08,0.72,3.73,4.84,1.27
