Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2017,CA,California,Lynwood,City,BRFSS,Health Outcomes,0644574,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5,5,5.1,,,69772,"(33.9239616867, -118.201648375)",HLTHOUT,CANCER,0644574,,Cancer (except skin)
2017,CA,California,Redding,City,BRFSS,Health Outcomes,0659920,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.6,6.6,6.7,,,89861,"(40.5697591271, -122.365026322)",HLTHOUT,CANCER,0659920,,Cancer (except skin)
2017,FL,Florida,Plantation,City,BRFSS,Health Outcomes,1257425,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6,5.9,6.1,,,84955,"(26.1259853923, -80.2616762465)",HLTHOUT,CANCER,1257425,,Cancer (except skin)
2017,CA,California,Santa Clarita,City,BRFSS,Health Outcomes,0669088,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.1,6.1,6.1,,,176320,"(34.4119039185, -118.503504698)",HLTHOUT,CANCER,0669088,,Cancer (except skin)
2017,NJ,New Jersey,Camden,City,BRFSS,Health Outcomes,3410000,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.3,5.3,5.4,,,77344,"(39.9361910066, -75.1072961899)",HLTHOUT,CANCER,3410000,,Cancer (except skin)
2017,NC,North Carolin,Concord,City,BRFSS,Health Outcomes,3714100,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.3,6.2,6.4,,,79066,"(35.3939316958, -80.6352429349)",HLTHOUT,CANCER,3714100,,Cancer (except skin)
2017,OK,Oklahoma,Broken Arrow,City,BRFSS,Health Outcomes,4009050,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.5,6.4,6.5,,,98850,"(36.0366324911, -95.7809572414)",HLTHOUT,CANCER,4009050,,Cancer (except skin)
2017,TX,Texas,Bryan,City,BRFSS,Health Outcomes,4810912,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6,5.9,6.1,,,76201,"(30.6665687582, -96.3663819223)",HLTHOUT,CANCER,4810912,,Cancer (except skin)
2017,TX,Texas,Frisco,City,BRFSS,Health Outcomes,4827684,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.2,6.2,6.3,,,116989,"(33.1507545152, -96.8201336312)",HLTHOUT,CANCER,4827684,,Cancer (except skin)
2017,AL,Alabama,Huntsville,City,BRFSS,Health Outcomes,0137000,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.5,6.4,6.5,,,180105,"(34.6989692671, -86.6387042882)",HLTHOUT,CANCER,0137000,,Cancer (except skin)
