Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2017,CA,California,Indio,City,BRFSS,Health Outcomes,0636448,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6,5.8,6.2,,,76036,"(33.7298067837, -116.237258141)",HLTHOUT,COPD,0636448,,COPD
2017,IL,Illinois,Naperville,City,BRFSS,Health Outcomes,1751622,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.1,4,4.3,,,141853,"(41.7482001145, -88.1657705099)",HLTHOUT,COPD,1751622,,COPD
2017,IA,Iowa,Iowa City,City,BRFSS,Health Outcomes,1938595,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.2,5,5.4,,,67862,"(41.6558950332, -91.5308854927)",HLTHOUT,COPD,1938595,,COPD
2017,NC,North Carolin,Greenville,City,BRFSS,Health Outcomes,3728080,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.6,7.3,7.8,,,84554,"(35.5959211876, -77.3766133673)",HLTHOUT,COPD,3728080,,COPD
2017,TX,Texas,Dallas,City,BRFSS,Health Outcomes,4819000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.3,6.2,6.3,,,1197816,"(32.7939804066, -96.7656929463)",HLTHOUT,COPD,4819000,,COPD
2017,VA,Virginia,Suffolk,City,BRFSS,Health Outcomes,5176432,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.7,6.5,6.8,,,84585,"(36.6930367981, -76.6414278469)",HLTHOUT,COPD,5176432,,COPD
2017,AL,Alabama,Huntsville,City,BRFSS,Health Outcomes,0137000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.8,7.7,8,,,180105,"(34.6989692671, -86.6387042882)",HLTHOUT,COPD,0137000,,COPD
2017,AZ,Arizona,Chandler,City,BRFSS,Health Outcomes,0412000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5,4.9,5.1,,,236123,"(33.28318981, -111.852210033)",HLTHOUT,COPD,0412000,,COPD
2017,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.4,5.2,5.6,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,COPD,0135896,,COPD
2017,AL,Alabama,Mobile,City,BRFSS,Health Outcomes,0150000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.5,8.3,8.6,,,195111,"(30.6776248648, -88.1184482714)",HLTHOUT,COPD,0150000,,COPD
2017,AZ,Arizona,Gilbert,City,BRFSS,Health Outcomes,0427400,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.7,4.6,4.8,,,208453,"(33.310149392, -111.746237467)",HLTHOUT,COPD,0427400,,COPD
2017,AL,Alabama,Montgomery,City,BRFSS,Health Outcomes,0151000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.7,8.5,8.9,,,205764,"(32.3472645333, -86.2677059552)",HLTHOUT,COPD,0151000,,COPD
2017,TX,Texas,Pearland,City,BRFSS,Health Outcomes,4856348,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.1,4,4.4,,,91252,"(29.5584850577, -95.3208389111)",HLTHOUT,COPD,4856348,,COPD
2017,AZ,Arizona,Glendale,City,BRFSS,Health Outcomes,0427820,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.8,6.7,7,,,226721,"(33.5796123089, -112.225306421)",HLTHOUT,COPD,0427820,,COPD
2017,AR,Arkansas,Fayetteville,City,BRFSS,Health Outcomes,0523290,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.8,6.5,7.1,,,73580,"(36.0712117312, -94.1659600436)",HLTHOUT,COPD,0523290,,COPD
2017,AR,Arkansas,Fort Smith,City,BRFSS,Health Outcomes,0524550,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.8,8.6,9.1,,,86209,"(35.3491692636, -94.3696317306)",HLTHOUT,COPD,0524550,,COPD
2017,AR,Arkansas,Jonesboro,City,BRFSS,Health Outcomes,0535710,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.5,7.2,7.8,,,67263,"(35.8208121538, -90.6794991686)",HLTHOUT,COPD,0535710,,COPD
2017,CA,California,Alameda,City,BRFSS,Health Outcomes,0600562,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3.9,3.8,4.1,,,73812,"(37.7650849031, -122.266489842)",HLTHOUT,COPD,0600562,,COPD
2017,CA,California,Anaheim,City,BRFSS,Health Outcomes,0602000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.1,5,5.2,,,336265,"(33.8389076996, -117.857613481)",HLTHOUT,COPD,0602000,,COPD
2017,AZ,Arizona,Tucson,City,BRFSS,Health Outcomes,0477000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.7,6.6,6.8,,,520116,"(32.1567244483, -110.877085494)",HLTHOUT,COPD,0477000,,COPD
2017,AZ,Arizona,Yuma,City,BRFSS,Health Outcomes,0485540,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.7,6.5,6.9,,,93064,"(32.5986027117, -114.54836837)",HLTHOUT,COPD,0485540,,COPD
2017,AZ,Arizona,Surprise,City,BRFSS,Health Outcomes,0471510,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.6,5.4,5.8,,,117517,"(33.6803835177, -112.452218439)",HLTHOUT,COPD,0471510,,COPD
2017,AZ,Arizona,Scottsdale,City,BRFSS,Health Outcomes,0465000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.5,4.4,4.6,,,217385,"(33.6872493651, -111.865085877)",HLTHOUT,COPD,0465000,,COPD
2017,AR,Arkansas,Little Rock,City,BRFSS,Health Outcomes,0541000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.5,6.4,6.6,,,193524,"(34.7253957894, -92.3583751863)",HLTHOUT,COPD,0541000,,COPD
2017,CA,California,Alhambra,City,BRFSS,Health Outcomes,0600884,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3.7,3.6,3.8,,,83089,"(34.0839734383, -118.135514119)",HLTHOUT,COPD,0600884,,COPD
