Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2017,CA,California,Hayward,City,BRFSS,Health Outcomes,0633000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.8,4.7,4.8,,,144186,"(37.6329591551, -122.077051051)",HLTHOUT,CHD,0633000,,Coronary Heart Disease
2017,CA,California,Bellflower,City,BRFSS,Health Outcomes,0604982,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.3,5.2,5.4,,,76616,"(33.8880417923, -118.127100236)",HLTHOUT,CHD,0604982,,Coronary Heart Disease
2017,FL,Florida,Cape Coral,City,BRFSS,Health Outcomes,1210275,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.3,6.2,6.4,,,154305,"(26.6448544993, -81.9931108298)",HLTHOUT,CHD,1210275,,Coronary Heart Disease
2017,KS,Kansas,Kansas City,City,BRFSS,Health Outcomes,2036000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.1,7,7.1,,,145786,"(39.1234621409, -94.7441921112)",HLTHOUT,CHD,2036000,,Coronary Heart Disease
2017,OH,Ohio,Parma,City,BRFSS,Health Outcomes,3961000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6,5.8,6.1,,,81601,"(41.3842399838, -81.728599153)",HLTHOUT,CHD,3961000,,Coronary Heart Disease
2017,TX,Texas,Dallas,City,BRFSS,Health Outcomes,4819000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.3,6.3,6.3,,,1197816,"(32.7939804066, -96.7656929463)",HLTHOUT,CHD,4819000,,Coronary Heart Disease
2017,WA,Washington,Spokane Valley,City,BRFSS,Health Outcomes,5367167,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.5,5.4,5.6,,,89755,"(47.662556574, -117.234571922)",HLTHOUT,CHD,5367167,,Coronary Heart Disease
2017,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.3,7.2,7.3,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,CHD,0107000,,Coronary Heart Disease
2017,AL,Alabama,Huntsville,City,BRFSS,Health Outcomes,0137000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.4,6.3,6.5,,,180105,"(34.6989692671, -86.6387042882)",HLTHOUT,CHD,0137000,,Coronary Heart Disease
2017,AL,Alabama,Montgomery,City,BRFSS,Health Outcomes,0151000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7,6.9,7.1,,,205764,"(32.3472645333, -86.2677059552)",HLTHOUT,CHD,0151000,,Coronary Heart Disease
2017,AL,Alabama,Tuscaloosa,City,BRFSS,Health Outcomes,0177256,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7,6.9,7.2,,,90468,"(33.2336083951, -87.5268004073)",HLTHOUT,CHD,0177256,,Coronary Heart Disease
2017,AL,Alabama,Mobile,City,BRFSS,Health Outcomes,0150000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.1,7,7.2,,,195111,"(30.6776248648, -88.1184482714)",HLTHOUT,CHD,0150000,,Coronary Heart Disease
2017,AZ,Arizona,Mesa,City,BRFSS,Health Outcomes,0446000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.5,5.4,5.5,,,439041,"(33.4022837359, -111.718721181)",HLTHOUT,CHD,0446000,,Coronary Heart Disease
2017,CA,California,Antioch,City,BRFSS,Health Outcomes,0602252,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.3,5.2,5.4,,,102372,"(37.9777042922, -121.796606971)",HLTHOUT,CHD,0602252,,Coronary Heart Disease
2017,AZ,Arizona,Tucson,City,BRFSS,Health Outcomes,0477000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.9,5.9,6,,,520116,"(32.1567244483, -110.877085494)",HLTHOUT,CHD,0477000,,Coronary Heart Disease
2017,AR,Arkansas,Fort Smith,City,BRFSS,Health Outcomes,0524550,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.4,7.2,7.5,,,86209,"(35.3491692636, -94.3696317306)",HLTHOUT,CHD,0524550,,Coronary Heart Disease
2017,AR,Arkansas,Little Rock,City,BRFSS,Health Outcomes,0541000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.9,5.8,6,,,193524,"(34.7253957894, -92.3583751863)",HLTHOUT,CHD,0541000,,Coronary Heart Disease
2017,AR,Arkansas,Springdale,City,BRFSS,Health Outcomes,0566080,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7,6.8,7.2,,,69797,"(36.1869932598, -94.1536274531)",HLTHOUT,CHD,0566080,,Coronary Heart Disease
2017,CA,California,Alameda,City,BRFSS,Health Outcomes,0600562,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4,3.9,4.1,,,73812,"(37.7650849031, -122.266489842)",HLTHOUT,CHD,0600562,,Coronary Heart Disease
2017,AZ,Arizona,Surprise,City,BRFSS,Health Outcomes,0471510,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.8,4.7,5,,,117517,"(33.6803835177, -112.452218439)",HLTHOUT,CHD,0471510,,Coronary Heart Disease
2017,CA,California,Alhambra,City,BRFSS,Health Outcomes,0600884,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.5,4.4,4.6,,,83089,"(34.0839734383, -118.135514119)",HLTHOUT,CHD,0600884,,Coronary Heart Disease
