Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2017,IN,Indiana,Lafayette,City,BRFSS,Health Outcomes,1840788,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.3,10.1,10.4,,,67140,"(40.3994285285, -86.8617007404)",HLTHOUT,CASTHMA,1840788,,Current Asthma
2017,AZ,Arizona,Glendale,City,BRFSS,Health Outcomes,0427820,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.7,10.6,10.7,,,226721,"(33.5796123089, -112.225306421)",HLTHOUT,CASTHMA,0427820,,Current Asthma
2017,AK,Alaska,Anchorage,City,BRFSS,Health Outcomes,0203000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.9,8.8,8.9,,,291826,"(61.149868731, -149.111113424)",HLTHOUT,CASTHMA,0203000,,Current Asthma
2017,AL,Alabama,Mobile,City,BRFSS,Health Outcomes,0150000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.5,11.4,11.6,,,195111,"(30.6776248648, -88.1184482714)",HLTHOUT,CASTHMA,0150000,,Current Asthma
2017,AZ,Arizona,Gilbert,City,BRFSS,Health Outcomes,0427400,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.7,9.7,9.8,,,208453,"(33.310149392, -111.746237467)",HLTHOUT,CASTHMA,0427400,,Current Asthma
2017,AL,Alabama,Tuscaloosa,City,BRFSS,Health Outcomes,0177256,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.2,11,11.3,,,90468,"(33.2336083951, -87.5268004073)",HLTHOUT,CASTHMA,0177256,,Current Asthma
2017,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.2,9.1,9.3,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,CASTHMA,0135896,,Current Asthma
2017,CA,California,Alhambra,City,BRFSS,Health Outcomes,0600884,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.2,7.1,7.2,,,83089,"(34.0839734383, -118.135514119)",HLTHOUT,CASTHMA,0600884,,Current Asthma
2017,AR,Arkansas,Fort Smith,City,BRFSS,Health Outcomes,0524550,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.9,9.8,10.1,,,86209,"(35.3491692636, -94.3696317306)",HLTHOUT,CASTHMA,0524550,,Current Asthma
2017,AZ,Arizona,Scottsdale,City,BRFSS,Health Outcomes,0465000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.7,9.6,9.7,,,217385,"(33.6872493651, -111.865085877)",HLTHOUT,CASTHMA,0465000,,Current Asthma
2017,AZ,Arizona,Surprise,City,BRFSS,Health Outcomes,0471510,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.3,10.2,10.5,,,117517,"(33.6803835177, -112.452218439)",HLTHOUT,CASTHMA,0471510,,Current Asthma
2017,CA,California,Anaheim,City,BRFSS,Health Outcomes,0602000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.3,8.2,8.4,,,336265,"(33.8389076996, -117.857613481)",HLTHOUT,CASTHMA,0602000,,Current Asthma
2017,AZ,Arizona,Tucson,City,BRFSS,Health Outcomes,0477000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.1,10.1,10.2,,,520116,"(32.1567244483, -110.877085494)",HLTHOUT,CASTHMA,0477000,,Current Asthma
2017,AR,Arkansas,Springdale,City,BRFSS,Health Outcomes,0566080,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.3,9.2,9.5,,,69797,"(36.1869932598, -94.1536274531)",HLTHOUT,CASTHMA,0566080,,Current Asthma
2017,AR,Arkansas,Little Rock,City,BRFSS,Health Outcomes,0541000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.7,9.6,9.8,,,193524,"(34.7253957894, -92.3583751863)",HLTHOUT,CASTHMA,0541000,,Current Asthma
